Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M14806,Micro,558,18,RNN,3.121937990188598,1.498676061630249,0.9952956500554024,-0.0942333679437132,348.0908756910296,19618.217706362408,19619.777307311346,99.9170560536788,199.66849931428632
M14806,Micro,558,18,LSTM,3.17214298248291,1.4852311611175537,0.9952956500554024,-0.0942333679437132,348.0908756910296,19629.958377573224,19631.52617681475,99.97681570941894,199.9072863104183
M14806,Micro,558,18,GRU,3.838831186294556,1.705444097518921,0.9952956500554024,-0.0942333679437132,348.0908756910296,19632.991295884058,19634.557511923507,99.99227208238646,199.96909490426793
M14806,Micro,558,18,TCN,9.619683265686035,1.5450379848480225,0.9952956500554024,-0.0942333679437132,348.0908756910296,456.53038194444446,509.3798081862899,2.3252171697028667,2.292725683359892
M14894,Micro,82,18,ARIMA,0.0187299251556396,0.0014970302581787,0.8326906984201956,0.1722055919534648,346.0291638906894,782.4742536706674,1063.0544583657204,12.709229625151922,14.220070297477957
M14894,Micro,82,18,SARIMA,0.1915161609649658,0.0022680759429931,0.8326906984201956,0.1722055919534648,346.0291638906894,625.7637436728702,785.969399487226,10.461892235243775,10.895324387688472
M14894,Micro,82,18,Holt-Winters,0.0341708660125732,0.0014431476593017,0.8326906984201956,0.1722055919534648,346.0291638906894,583.282090887015,788.8421397378523,9.59044404088428,10.136971564455738
M14894,Micro,82,18,DLM,0.0254690647125244,0.0010790824890136,0.8326906984201956,0.1722055919534648,346.0291638906894,830.7233941360348,1153.7767510253984,13.449079003944464,15.214778545946404
M14894,Micro,82,18,RNN,3.052027940750122,1.6761460304260254,0.8326906984201956,0.1722055919534648,346.0291638906894,5583.870800019556,5630.483764525413,99.97486335522235,199.8994804277808
M14894,Micro,82,18,LSTM,2.9342660903930664,1.7495067119598389,0.8326906984201956,0.1722055919534648,346.0291638906894,5585.299560199184,5631.918578654904,100.00053285714613,199.99720182782076
M14894,Micro,82,18,GRU,4.08233904838562,2.3417391777038574,0.8326906984201956,0.1722055919534648,346.0291638906894,5585.137081258416,5631.75851868466,99.99755550663896,199.9902224755284
M14894,Micro,82,18,TCN,8.233143091201782,0.8292069435119629,0.8326906984201956,0.1722055919534648,346.0291638906894,789.2261226996528,1085.0687976853717,13.04863684549043,13.75844246953494
M14917,Micro,303,18,ARIMA,0.0389528274536132,0.0014290809631347,0.5080948992144888,0.7093204595748417,532.2100698451521,305.2375195273528,346.6571620721383,82.80008108852203,49.755946503631506
M14917,Micro,303,18,SARIMA,0.8671090602874756,0.0064382553100585,0.5080948992144888,0.7093204595748417,532.2100698451521,504.4130634389313,593.9869910384992,105.80882788955368,105.0817699136992
M14917,Micro,303,18,Holt-Winters,0.0488018989562988,0.0016560554504394,0.5080948992144888,0.7093204595748417,532.2100698451521,725.9426587770727,811.8877095081212,156.6906758477143,133.16070257481547
M14917,Micro,303,18,DLM,0.0563080310821533,0.00132417678833,0.5080948992144888,0.7093204595748417,532.2100698451521,642.3706394294422,737.9622821401013,135.8813086339598,114.20895535607109
M14917,Micro,303,18,RNN,2.933777332305908,1.5198941230773926,0.5080948992144888,0.7093204595748417,532.2100698451521,543.5200707117716,588.9261644762786,98.68310190817104,194.8133869732908
M14917,Micro,303,18,LSTM,3.848234176635742,2.6984379291534424,0.5080948992144888,0.7093204595748417,532.2100698451521,542.1910345554352,587.7520351247634,98.37789016817985,193.63540464109465
M14917,Micro,303,18,GRU,3.7767319679260254,2.1171212196350098,0.5080948992144888,0.7093204595748417,532.2100698451521,545.3653294112947,590.6060474438723,99.09806378709924,196.43082256103085
M14917,Micro,303,18,TCN,5.24222993850708,0.5333969593048096,0.5080948992144888,0.7093204595748417,532.2100698451521,138.58497958713107,172.2184531478246,34.78726019641635,27.57375736055907
